_id,name,active,cured,death,total
1,Andaman and Nicobar Islands,752,355,16,1123
2,Andhra Pradesh,82166,112870,1753,196789
3,Arunachal Pradesh,700,1245,3,1948
4,Assam,15467,37224,126,52817
5,Bihar,23888,45537,363,69788
6,Chandigarh,530,777,20,1327
7,Chhattisgarh,2767,8088,77,10932
8,Dadra and Nagar Haveli and Daman and Diu,416,973,2,1391
9,Delhi,10348,127124,4059,141531
10,Goa,2095,5453,66,7614
11,Gujarat,14766,50350,2583,67699
12,Haryana,6205,32640,458,39303
13,Himachal Pradesh,1168,1865,14,3047
14,Jammu and Kashmir,7310,15708,436,23454
15,Jharkhand,9017,6594,145,15756
16,Karnataka,75076,80281,2897,158254
17,Kerala,12019,18333,97,30449
18,Ladakh,411,1177,7,1595
19,Madhya Pradesh,8716,26902,946,36564
20,Maharashtra,146612,316375,16792,479779
21,Manipur,1304,1905,8,3217
22,Meghalaya,640,345,5,990
23,Mizoram,251,288,0,539
24,Nagaland,1755,819,6,2580
25,Odisha,13594,26888,235,40717
26,Puducherry,1743,2808,70,4621
27,Punjab,6715,13659,517,20891
28,Rajasthan,13108,35131,757,48996
29,Sikkim,475,353,1,829
30,Tamil Nadu,53486,221087,4571,279144
31,Telangana,21417,53239,601,75257
32,Tripura,1957,3860,36,5853
33,Uttarakhand,43654,63402,1918,108974
34,Uttar Pradesh,3027,5427,98,8552
35,West Bengal,23829,61023,1902,86754
